Here's a structured 4-month DSA course curriculum grouping all your problems by pattern, data structure, and algorithmic similarity — ordered from foundational to advanced:

---

# 4-Month DSA Course Curriculum

---

## MONTH 1 — Foundations: Arrays, Strings, Hashing (Weeks 1–4)

---

### Week 1 — Sorting Algorithms & Basic Array Operations
**Pattern:** Comparison/Non-comparison sorting, basic array manipulation

| # | Problem |
|---|---------|
| 1 | BUBBLE SORT |
| 2 | SELECTION SORT |
| 3 | INSERTION SORT |
| 4 | MERGE SORT |
| 5 | QUICK SORT |
| 6 | COUNT SORT |
| 7 | RADIX SORT |
| 8 | SORT01 |
| 9 | SORT012 |
| 10 | REVERSE ARRAY |
| 11 | ROTATE ARRAY |
| 12 | MOVE ZEROS |
| 13 | SEGREGATE EVEN ODD |
| 14 | SEGREGATE POSITIVE AND NEGATIVE |
| 15 | REARRANGE ARRAY ALTERNATIVELY |
| 16 | CONTAINS DUPLICATE |
| 17 | REMOVE DUPLICATES FROM SORTED ARRAY |
| 18 | REMOVE ELEMENT |
| 19 | ROTATE MATRIX ELEMENTS |
| 20 | ROTATE MATRIX |
| 21 | Reorder An Array According To Given Indexes |
| 22 | Merge Two Sorted Arrays O(1) Extra Space |
| 23 | SQUARES OF A SORTED ARRAY |
| 24 | CHECK REVERSING SUB ARRAY MAKE ARRAY SORTED |
| 25 | ABSOLUTE LIST SORTING |

---

### Week 2 — Binary Search & Two Pointers
**Pattern:** Binary search on value/index, monotonic conditions, two pointer convergence

| # | Problem |
|---|---------|
| 1 | BINARY SEARCH |
| 2 | SEARCH INSERT POSITION |
| 3 | FIND FIRST AND LAST POSITION OF ELEMENT IN SORTED |
| 4 | FIND MINIMUM IN ROTATED SORTED ARRAY |
| 5 | SEARCH IN ROTATED SORTED ARRAY |
| 6 | FIND FLOOR AND CEIL IN AN SORTED ARRAY |
| 7 | SEARCH IN NEARLY SORTED ARRAY |
| 8 | FIND NUMBER OF ROTATION |
| 9 | SINGLE ELEMENT IN SORTED ARRAY |
| 10 | PEAK INDEX |
| 11 | INDEX OF AN EXTRA ELEMENT |
| 12 | FIND IF THERE IS A PAIR WITH GIVEN SUM IN ROTATED SORTED ARRAY |
| 13 | Find position of an element in a sorted array of infinite numbers |
| 14 | Find the element that appears once in sorted array |
| 15 | FIRST BAD VERSION |
| 16 | GUESS NUMBER HIGHER OR LOWER |
| 17 | KOKO EATING BANANAS |
| 18 | Capacity to Ship Packages within D Days |
| 19 | ALLOCATE MINIMUM NUMBER OF PAGES |
| 20 | Painter's partition problem |
| 21 | MEDIAN OF TWO SORTED ARRAYS |
| 22 | KTH SMALLEST ELEMENT IN A SORTED MATRIX |
| 23 | COUNT NEGATIVE NUMBERS IN A SORTED MATRIX |
| 24 | Sqrt(x) |
| 25 | VALID PERFECT SQUARE |
| 26 | CONTAINER WITH MOST WATER |
| 27 | 3 SUM |
| 28 | 4 SUM |
| 29 | BOATS TO SAVE PEOPLE |
| 30 | TRAPPING RAIN WATER |

---

### Week 3 — Strings & Pattern Matching
**Pattern:** String manipulation, character frequency, palindrome detection, pattern search

| # | Problem |
|---|---------|
| 1 | VALID ANAGRAM |
| 2 | ANAGRAM PALINDROME |
| 3 | GROUP ANAGRAMS |
| 4 | VALID PALINDROME |
| 5 | PALINDROME NUMBER |
| 6 | ANAGRAM MAPPING |
| 7 | ISOMORPHIC STRINGS |
| 8 | WORD PATTERN |
| 9 | DETECT CAPITAL |
| 10 | LENGTH OF LAST WORD |
| 11 | REVERSE STRING |
| 12 | REVERSE INDIVIDUAL WORDS |
| 13 | Reverse Words in a String |
| 14 | TOGGLE CASE |
| 15 | STRING REMOVE DUPLICATES |
| 16 | PRINT ALL DISTINCT CHARACTERS OF A STRING IN ORDER |
| 17 | Longest Common Prefix |
| 18 | FIRST NON REPEATING CHARACTER IN A STRING |
| 19 | FIRST UNIQUE CHARACTER IN STRING |
| 20 | ROTATE STRING |
| 21 | CAMELCASE MATCHING |
| 22 | GOAL PARSER INTERPRETATION |
| 23 | DETECT CAPITAL |
| 24 | IS SUBSEQUENCE |
| 25 | FIRST STRING SUBSEQUENCE OF OTHER |
| 26 | LONG PRESSED NAME |
| 27 | BACKSPACE STRING COMPARE |
| 28 | COMPARE VERSION NUMBERS |
| 29 | String to Integer |
| 30 | UNCOMMON WORDS FROM TWO SENTENCES |
| 31 | ADD STRINGS |
| 32 | Multiply Strings |
| 33 | COUNT AND SAY |
| 34 | ADD DIGITS |
| 35 | PATTERN MATCHING |
| 36 | PATTERN SEARCHING |
| 37 | STROBOGRAMMATIC NUMBER |
| 38 | LEXICOGRAPHICALLY SMALLEST SUBSEQUENCE |

---

### Week 4 — Sliding Window, Prefix Sum & Hashing
**Pattern:** Sliding window (fixed/variable), prefix sum, frequency hashing

| # | Problem |
|---|---------|
| 1 | SLIDING WINDOW MAXIMUM |
| 2 | MAX SUM SUBARRAY OF SIZE K |
| 3 | MINIMUM SIZE SUBARRAY SUM |
| 4 | SUBARRAY SUM EQUALS K |
| 5 | BINARY SUBARRAY WITH SUM |
| 6 | FIND ALL ANAGRAMS IN A STRING |
| 7 | FIND THE LONGEST SUBSTRING WITH K UNIQUE CHARACTERS |
| 8 | FIND THE SMALLEST WINDOW IN A STRING CONTAINING ALL CHARACTERS OF ANOTHER STRING |
| 9 | LONGEST SUBSTRING WITHOUT REPEATING CHARACTERS |
| 10 | LONGEST SUBSTRING WITH AT MOST K UNIQUE CHARACTERS |
| 11 | SMALLEST SUBARRAY WITH ALL OCCURRENCES OF THE MOST FREQUENT ELEMENT |
| 12 | SUBSTRING WITH CONCATENATION OF ALL WORDS |
| 13 | Permutation in String |
| 14 | COUNT OF SUBSTRINGS HAVING AT MOST K UNIQUE CHARACTERS |
| 15 | COUNT DISTINCT ELEMENTS IN EVERY WINDOW |
| 16 | SUBARRAYS WITH DISTINCT ELEMENTS |
| 17 | LARGEST SUBARRAY WITH 0 SUM |
| 18 | LARGEST SUBARRAY WITH SUM K |
| 19 | LONGEST SUBARRAY WITH EQUAL 0 AND 1 |
| 20 | LONGEST SUBARRAY WITH EQUAL 0, 1 AND 2 |
| 21 | LONGEST SUBARRAY WITH SUM DIVISIBLE BY K |
| 22 | ARRAY PAIR SUM DIVISIBILITY BY K |
| 23 | NUMBER OF SUBARRAYS HAVING SUM LESS THAN K |
| 24 | MAXIMUM SUM CONTIGUOUS SUBARRAY (Kadane's) |
| 25 | MAXIMUM PRODUCT SUBARRAY |
| 26 | MAXIMUM CONTIGUOUS CIRCULAR SUBARRAY SUM |
| 27 | PRODUCT OF ARRAY EXCEPT SELF |
| 28 | EQUILIBRIUM INDEX OF AN ARRAY |
| 29 | SUBARRAY SUM EQUALS K |
| 30 | K CONCATENATION MAXIMUM SUM |
| 31 | MAXIMUM SUM SUBARRAY WITH AT LEAST K ELEMENTS |
| 32 | MAXIMUM SUM OF M NON OVERLAPPING SUBARRAYS |
| 33 | MAXIMUM SUM OF TWO NON OVERLAPPING SUBARRAYS |
| 34 | MAXIMUM SUM OF THREE NON OVERLAPPING SUBARRAYS |
| 35 | Sliding Window Median |

---

## MONTH 2 — Core Linear Data Structures (Weeks 5–9)

---

### Week 5 — Linked Lists: Basics & Pointers
**Pattern:** Pointer manipulation, runner technique, reversal, cycle detection

| # | Problem |
|---|---------|
| 1 | IMPLEMENT SINGLY LINKEDLIST |
| 2 | IMPLEMENT DOUBLY LINKEDLIST |
| 3 | IMPLEMENT CIRCULAR LINKEDLIST |
| 4 | REVERSE LINKED LIST |
| 5 | MIDDLE OF A LINKED LIST |
| 6 | LINKED LIST CYCLE |
| 7 | INTERSECTION OF TWO LINKED LISTS |
| 8 | MERGE TWO SORTED LIST |
| 9 | PALINDROME LINKED LIST |
| 10 | REMOVE NTH NODE FROM END OF LINKEDLIST |
| 11 | DELETE NODE |
| 12 | ODD EVEN LINKED LIST |
| 13 | PARTITION LIST |
| 14 | SWAP NODES IN PAIRS |
| 15 | REVERSE NODES IN K GROUP |
| 16 | REVERSE ALTERNATE K NODES |
| 17 | ROTATE RIGHT |
| 18 | REMOVE DUPLICATE FROM SORTED LIST |
| 19 | REMOVE DUPLICATE FROM UNSORTED LINKEDLIST |
| 20 | DELETE N NODES AFTER M NODES |
| 21 | DELETE ALTERNATE NODES |
